features,importances
create_days,1391
online_time_21,1315
first_hour_21,1142
online_time_week_3,1052
game_ranked_next_time_20,863
online_time_week_1,816
game_ranked_next_time_week_3,769
game_ranked_next_time_9,747
game_ranked_next_time_21,724
quest_21,713
online_time_week_2,637
game_ranked_next_time_week_2,627
game_ranked_next_time_5,626
game_unranked_next_time_2,591
level_21,540
first_hour_12,521
level_13,520
first_hour_16,515
online_time_20,502
online_time_15,495
first_hour_20,483
first_hour_19,481
game_ranked_time_21,465
first_hour_17,443
first_hour_5,427
login_counts_week_3,426
quest_20,407
login_days_week_1,375
level_training_14,372
level_1,370
login_days_week_3,331
level_training_19,331
level_training_20,312
level_training_21,309
level_20,294
login_days_week_2,290
login_counts_week_2,281
development_talent_week_2,277
login_counts_week_1,248
level_training_1,214
game_ranked_counts_21,152
